                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78104,                 1.4499,                 1.2462,                0.75143,                0.75935,                0.82476,                0.77638,                0.40769,                 1.9557,                 0.9054,             0.00018522,             0.00018522,             0.00018522
                     36,                0.47598,                 1.0878,                0.97399,                0.75143,                0.75935,                0.82476,                0.77638,                0.40769,                 1.9557,                 0.9054,             0.00017912,             0.00017912,             0.00017912
                     37,                 0.7874,                 1.4592,                 1.2736,                0.72394,                    0.8,                0.78667,                 0.7436,                0.41049,                 1.9648,                0.89211,             0.00017235,             0.00017235,             0.00017235
                     38,                0.51822,                 1.0103,                 1.0901,                0.72394,                    0.8,                0.78667,                 0.7436,                0.41049,                 1.9648,                0.89211,             0.00016493,             0.00016493,             0.00016493
                     39,                0.57592,                 1.0871,                 1.0523,                0.71314,                    0.8,                0.77714,                0.74048,                0.40438,                 1.9543,                0.88997,             0.00015684,             0.00015684,             0.00015684
                     40,                0.55604,                 1.1064,                  1.078,                0.71314,                    0.8,                0.77714,                0.74048,                0.40438,                 1.9543,                0.88997,              0.0001481,              0.0001481,              0.0001481
                     41,                0.51883,                  1.411,                0.95972,                0.69749,                0.62037,                0.77714,                0.74048,                0.39231,                 1.9797,                0.88173,             0.00013869,             0.00013869,             0.00013869
                     42,                0.40829,                 1.4153,                 1.0143,                0.69749,                0.62037,                0.77714,                0.74048,                0.39231,                 1.9797,                0.88173,             0.00012863,             0.00012863,             0.00012863
                     43,                0.39449,                 1.1429,                0.88772,                0.67141,                0.53667,                0.76881,                0.73384,                0.38069,                 1.9976,                0.88016,              0.0001179,              0.0001179,              0.0001179
                     44,                0.41043,                 1.4036,                0.95037,                0.67141,                0.53667,                0.76881,                0.73384,                0.38069,                 1.9976,                0.88016,             0.00010652,             0.00010652,             0.00010652
                     45,                0.43848,                 1.2323,                0.98888,                0.67584,                   0.55,                0.78528,                0.76103,                0.38229,                 1.9931,                0.88026,             9.4472e-05,             9.4472e-05,             9.4472e-05
                     46,                  0.377,                 1.1363,                0.90926,                0.67584,                   0.55,                0.78528,                0.76103,                0.38229,                 1.9931,                0.88026,             8.1766e-05,             8.1766e-05,             8.1766e-05
                     47,                0.40881,                 1.1082,                0.84628,                0.66108,                   0.55,                0.78528,                0.76103,                0.37579,                 1.9908,                0.87885,               6.84e-05,               6.84e-05,               6.84e-05
                     48,                0.39016,                 1.3884,                 1.0331,                0.66108,                   0.55,                0.78528,                0.76103,                0.37579,                 1.9908,                0.87885,             5.4374e-05,             5.4374e-05,             5.4374e-05
                     49,                0.36983,                 1.0366,                0.87378,                0.63679,                   0.55,                0.80591,                0.77891,                0.37347,                 1.9502,                0.87608,             3.9688e-05,             3.9688e-05,             3.9688e-05
                     50,                0.33006,                 1.1224,                0.86594,                0.63679,                   0.55,                0.80591,                0.77891,                0.37347,                 1.9502,                0.87608,             2.4342e-05,             2.4342e-05,             2.4342e-05
